Age,P05,P10,P25,P50,P75,P90,P95
0.0000,1259.1987,1261.0977,1264.2572,1267.7423,1271.2521,1274.4772,1276.4358
0.5025,1259.1634,1261.1060,1264.3381,1267.9035,1271.4945,1274.7945,1276.7988
1.0050,1259.1229,1261.1099,1264.4162,1268.0638,1271.7378,1275.1143,1277.1652
1.5075,1259.0767,1261.1092,1264.4913,1268.2228,1271.9816,1275.4364,1277.5349
2.0101,1259.0248,1261.1037,1264.5631,1268.3803,1272.2257,1275.7603,1277.9075
2.5126,1258.9667,1261.0929,1264.6313,1268.5359,1272.4698,1276.0860,1278.2828
3.0151,1258.9022,1261.0767,1264.6957,1268.6896,1272.7136,1276.4131,1278.6605
3.5176,1258.8310,1261.0547,1264.7560,1268.8408,1272.9569,1276.7413,1279.0405
4.0201,1258.7528,1261.0268,1264.8118,1268.9895,1273.1994,1277.0703,1279.4223
4.5226,1258.6674,1260.9926,1264.8630,1269.1353,1273.4409,1277.4000,1279.8057
5.0251,1258.5747,1260.9520,1264.9094,1269.2780,1273.6811,1277.7301,1280.1906
5.5276,1258.4745,1260.9049,1264.9509,1269.4176,1273.9198,1278.0604,1280.5766
6.0302,1258.3668,1260.8512,1264.9874,1269.5538,1274.1570,1278.3907,1280.9636
6.5327,1258.2516,1260.7909,1265.0187,1269.6866,1274.3924,1278.7207,1281.3514
7.0352,1258.1288,1260.7239,1265.0447,1269.8158,1274.6258,1279.0504,1281.7396
7.5377,1257.9983,1260.6500,1265.0654,1269.9412,1274.8572,1279.3794,1282.1282
8.0402,1257.8602,1260.5694,1265.0807,1270.0627,1275.0862,1279.7076,1282.5167
8.5427,1257.7144,1260.4819,1265.0905,1270.1802,1275.3126,1280.0346,1282.9050
9.0452,1257.5609,1260.3875,1265.0947,1270.2936,1275.5364,1280.3602,1283.2927
9.5477,1257.3998,1260.2861,1265.0932,1270.4027,1275.7573,1280.6843,1283.6796
10.0503,1257.2313,1260.1782,1265.0862,1270.5076,1275.9754,1281.0067,1284.0656
10.5528,1257.0559,1260.0640,1265.0743,1270.6088,1276.1909,1281.3278,1284.4510
11.0553,1256.8741,1259.9441,1265.0576,1270.7064,1276.4042,1281.6477,1284.8358
11.5578,1256.6864,1259.8189,1265.0367,1270.8010,1276.6154,1281.9666,1285.2203
12.0603,1256.4932,1259.6889,1265.0119,1270.8927,1276.8249,1282.2847,1285.6045
12.5628,1256.2952,1259.5544,1264.9835,1270.9818,1277.0329,1282.6022,1285.9887
13.0653,1256.0927,1259.4160,1264.9522,1271.0688,1277.2395,1282.9192,1286.3728
13.5678,1255.8863,1259.2743,1264.9181,1271.1540,1277.4451,1283.2358,1286.7571
14.0704,1255.6766,1259.1296,1264.8818,1271.2376,1277.6499,1283.5522,1287.1415
14.5729,1255.4642,1258.9824,1264.8436,1271.3200,1277.8540,1283.8686,1287.5262
15.0754,1255.2494,1258.8333,1264.8039,1271.4014,1278.0577,1284.1850,1287.9112
15.5779,1255.0325,1258.6824,1264.7630,1271.4820,1278.2612,1284.5015,1288.2965
16.0804,1254.8141,1258.5301,1264.7210,1271.5621,1278.4644,1284.8182,1288.6822
16.5829,1254.5943,1258.3768,1264.6783,1271.6417,1278.6675,1285.1350,1289.0682
17.0854,1254.3735,1258.2226,1264.6351,1271.7212,1278.8707,1285.4522,1289.4546
17.5879,1254.1521,1258.0679,1264.5917,1271.8006,1279.0741,1285.7697,1289.8415
18.0905,1253.9304,1257.9132,1264.5483,1271.8802,1279.2778,1286.0875,1290.2287
